Genre,Prob_Promedio,Prob_Desv_Est,Prob_Minima,Prob_Maxima,TopSellers_Reales,TopSellers_Predichos,Ventas_Promedio,Ventas_Desv_Est,Total_Juegos,Tasa_Exito_Real,Tasa_Exito_Predicha,Categoria_Riesgo,investment_score
Action,0.2556,0.4298,0.0,1.0,856,860,0.5165,1.1441,3379,0.2533,0.2545,Bajo Potencial,0.16519783103420171
Adventure,0.2565,0.422,0.0,1.0,343,342,0.2113,0.6521,1330,0.2579,0.2571,Bajo Potencial,0.18397520034384907
Card & Board Game,0.2727,0.4671,0.0,1.0,3,3,3.3427,2.6451,11,0.2727,0.2727,Bajo Potencial,3.7999836463819854
Fighting,0.2584,0.4337,0.0,1.0,218,219,0.5265,0.9519,850,0.2565,0.2576,Bajo Potencial,0.20209881943814895
Misc,0.2548,0.4297,0.0,1.0,427,429,0.4023,1.215,1700,0.2512,0.2524,Bajo Potencial,0.17640940985258888
Music,0.2729,0.4557,0.0,1.0,6,6,1.7855,1.6114,22,0.2727,0.2727,Bajo Potencial,1.9819218123501
Platform,0.2533,0.4333,0.0,1.0,224,225,0.9294,2.5704,891,0.2514,0.2525,Bajo Potencial,0.19687339088196976
Puzzle,0.2466,0.4238,0.0,1.0,148,145,0.4169,1.5587,583,0.2539,0.2487,Bajo Potencial,0.21657064183907485
Racing,0.2498,0.429,0.0,1.0,317,314,0.5818,1.6543,1253,0.253,0.2506,Bajo Potencial,0.18180339078806157
Role-Playing,0.2524,0.43,0.0,1.0,379,379,0.6221,1.7083,1502,0.2523,0.2523,Bajo Potencial,0.17807116793014716
Shooter,0.2525,0.4322,0.0,1.0,336,333,0.7947,1.8149,1325,0.2536,0.2513,Bajo Potencial,0.18168868079500378
Simulation,0.2558,0.4284,0.0,1.0,221,222,0.4457,1.1849,876,0.2523,0.2534,Bajo Potencial,0.19914210870113547
Sports,0.257,0.4299,0.0,1.0,597,605,0.566,2.0807,2358,0.2532,0.2566,Bajo Potencial,0.1711635309649889
Strategy,0.2496,0.4229,0.0,1.0,173,171,0.2548,0.5184,685,0.2526,0.2496,Bajo Potencial,0.20815416844221798
