Platform,Prob_Promedio,Prob_Desv_Est,TopSellers_Reales,Ventas_Promedio,Total_Juegos
nes,0.9058,0.2889,89,2.5619,98
gb,0.6808,0.4616,67,2.6066,98
2600,0.4249,0.4891,58,0.7299,133
gen,0.4141,0.5009,13,1.0614,27
snes,0.3632,0.4775,86,0.837,239
ps3,0.3573,0.4731,474,0.7046,1337
x360,0.3466,0.4687,441,0.7652,1270
ps4,0.3371,0.4703,132,0.7996,393
xone,0.3367,0.4646,80,0.6455,247
ps,0.3341,0.4661,397,0.6104,1197
ps2,0.3057,0.4518,656,0.581,2161
n64,0.2884,0.4455,91,0.6861,319
wii,0.2806,0.4415,369,0.6849,1326
wiiu,0.259,0.4343,38,0.5589,147
3ds,0.204,0.3979,108,0.4973,521
gba,0.1989,0.3941,170,0.3875,822
ds,0.1866,0.3815,401,0.3732,2163
gc,0.1824,0.3814,101,0.3586,556
xb,0.1734,0.3715,139,0.3134,824
dc,0.1724,0.3803,9,0.3071,52
psp,0.1354,0.3366,161,0.2427,1213
pc,0.1315,0.3352,131,0.2659,979
sat,0.1029,0.2998,18,0.1942,173
psv,0.0444,0.2021,20,0.1235,439
ng,0.0,0.0,0,0.12,12
