name_clean,platform_clean,year_clean,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
'98 koshien,ps,1998,Sports,Magical Company,0.41,,,,
.hack//g.u. vol.1//rebirth,ps2,2006,Role-Playing,Namco Bandai Games,0.17,,,,
.hack//g.u. vol.2//reminisce,ps2,2006,Role-Playing,Namco Bandai Games,0.23,,,,
.hack//g.u. vol.2//reminisce (jp sales),ps2,2006,Role-Playing,Namco Bandai Games,0.16,,,,
.hack//g.u. vol.3//redemption,ps2,2007,Role-Playing,Namco Bandai Games,0.17,,,,
.hack//infection part 1,ps2,2002,Role-Playing,Atari,1.27,75.0,35.0,8.5,60.0
.hack//link,psp,2010,Role-Playing,Namco Bandai Games,0.14,,,,
.hack//mutation part 2,ps2,2002,Role-Playing,Atari,0.68,76.0,24.0,8.9,81.0
.hack//outbreak part 3,ps2,2002,Role-Playing,Atari,0.46,70.0,23.0,8.7,19.0
.hack//quarantine part 4: the final chapter,ps2,2003,Role-Playing,Atari,0.18,,,,
.hack: sekai no mukou ni + versus,ps3,2012,Action,Namco Bandai Games,0.03,,,,
007 racing,ps,2000,Racing,Electronic Arts,0.53,51.0,16.0,4.6,14.0
007: quantum of solace,ds,2008,Action,Activision,0.13,65.0,10.0,tbd,
007: quantum of solace,pc,2008,Action,Activision,0.03,70.0,18.0,6.3,55.0
007: quantum of solace,ps2,2008,Action,Activision,0.43,,,,
007: quantum of solace,ps3,2008,Action,Activision,1.14,65.0,42.0,6.6,47.0
007: quantum of solace,wii,2008,Action,Activision,0.65,54.0,11.0,7.5,26.0
007: quantum of solace,x360,2008,Action,Activision,1.48,65.0,69.0,7.1,71.0
007: the world is not enough,n64,2000,Action,Electronic Arts,1.55,,,,
007: the world is not enough,ps,2000,Action,Electronic Arts,0.92,61.0,11.0,6.7,44.0
007: tomorrow never dies,ps,1999,Shooter,Electronic Arts,3.21,,,,
1 vs. 100,ds,2008,Misc,DSI Games,0.08,38.0,5.0,3.2,5.0
1/2 summer +,psp,2013,Adventure,Kaga Create,0.01,,,,
10 minute solution,wii,2010,Sports,Activision,0.08,,,tbd,
100 all-time favorites,ds,2009,Puzzle,Ubisoft,0.51,,,6.2,6.0
100 classic books,ds,2008,Misc,Nintendo,0.66,70.0,7.0,6,12.0
100 classic games,ds,2011,Misc,Rondomedia,0.04,,,,
1000 cooking recipes from elle à table,ds,2010,Misc,Nintendo,0.03,,,,
1001 touch games,ds,2011,Action,Avanquest,0.31,,,tbd,
101-in-1 explosive megamix,ds,2008,Puzzle,Nordcurrent,0.19,46.0,13.0,tbd,
101-in-1 party megamix wii,wii,2009,Misc,Nordcurrent,0.22,,,,
101-in-1 sports megamix,ds,2010,Sports,Nordcurrent,0.08,,,tbd,
101-in-1 sports party megamix,wii,2010,Sports,Nordcurrent,0.03,41.0,7.0,tbd,
1080°: teneighty snowboarding,n64,1998,Sports,Nintendo,2.03,,,,
11eyes: crossover,psp,2010,Adventure,5pb,0.02,,,,
11eyes: crossover,x360,2009,Adventure,5pb,0.02,,,,
12-sai. honto no kimochi,3ds,2014,Adventure,Happinet,0.07,,,,
12-sai. koisuru diary,3ds,2016,Adventure,Happinet,0.05,,,,
12riven: the psi-climinal of integral,ps2,2008,Adventure,CyberFront,0.04,,,,
15 days,pc,2009,Adventure,DTP Entertainment,0.01,63.0,6.0,5.8,8.0
1701 a.d.,pc,2006,Simulation,Deep Silver,0.3,79.0,30.0,8.3,38.0
18 wheeler: american pro trucker,gc,2002,Racing,Acclaim Entertainment,0.11,52.0,17.0,6.8,8.0
18 wheeler: american pro trucker,ps2,2001,Racing,Acclaim Entertainment,0.4,61.0,11.0,5.7,18.0
18 wheels of steel: extreme trucker,pc,2009,Racing,Rondomedia,0.02,,,8,10.0
18 wheels of steel: extreme trucker 2,pc,2011,Racing,Rondomedia,0.11,,,8.3,10.0
187: ride or die,ps2,2005,Racing,Ubisoft,0.15,52.0,33.0,6.8,12.0
187: ride or die,xb,2005,Racing,Ubisoft,0.06,51.0,40.0,6.9,8.0
1942,nes,1985,Shooter,Capcom,1.0,,,,
2 games in 1 double pack: hot wheels velocity x / hot wheels world race,gba,2005,Racing,THQ,0.12,,,,
2 games in 1 double pack: the incredibles / finding nemo: the continuing adventures,gba,2007,Action,THQ,1.76,,,,
2 games in 1: disney princess & the lion king,gba,2004,Misc,THQ,1.75,,,,
2 games in 1: disney's brother bear / the lion king 1 1/2,gba,2005,Action,THQ,0.31,,,,
2 games in 1: sonic advance & chuchu rocket!,gba,2005,Misc,THQ,1.83,,,,
2 games in 1: sonic battle & chuchu rocket!,gba,2005,Misc,THQ,0.61,,,,
2 games in 1: sonic pinball party & columns crown,gba,2005,Misc,Sega,0.06,,,,
